SiteCode,SiteName,Latitude,Longitude
GAR,Glenn Ayr Resort,47.420556,-123.130105
SQR,Sequim Bay,48.037076,-123.019722
ZIT,Zittel's Marina,47.165366,-122.808021
PEN,Penn Cove,48.22284,-122.687963
HPD,Hales Pass Dock,48.731217,-122.6694
ROS,Rosario Head,48.416618,-122.663325
LOF,Lofall Community Dock,47.815366,-122.655995
COR,Cornet Bay,48.400322,-122.625143
OAK,Crescent Harbor,48.28485,-122.622799
ANA,Fidalgo Bay Anacortes,48.510059,-122.604745
APR,Agate Pass South,47.70186,-122.581108
SHI,Shilshole Marina ,47.680497,-122.408139
CLM,Chinook Landing Marina,47.2804,-122.4012
MUK,Possession Sound,47.95,-122.3
TBM,Tulalip Bay Marina,48.061757,-122.279217
